序号,发行人_链接,发行人,文件名称_链接,文件名称,披露日期
1,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1190,安徽芯动联科微系统股份有限公司,http://static.sse.com.cn/stock/information/c/202212/e0e6bb02c5c34efd9fc3ca3fc69fbb2a.pdf,8-1 发行人及保荐机构回复意见,2022-12-09
2,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1190,安徽芯动联科微系统股份有限公司,http://static.sse.com.cn/stock/information/c/202212/18cd8b8d2c134faba12fbfd6bcb56829.pdf,8-2 会计师审核问询函回复意见,2022-12-09
3,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1190,安徽芯动联科微系统股份有限公司,http://static.sse.com.cn/stock/information/c/202212/7a2a818b1f9140c7b6830583bdccac9c.pdf,8-3 补充法律意见书（一）,2022-12-09
4,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1297,山东中创软件商用中间件股份有限公司,http://static.sse.com.cn/stock/information/c/202212/2fb333c1f2be4dde8f2865f5d3818a9b.pdf,8-1-3 发行人及保荐机构关于审核中心落实意见函的回复,2022-12-08
5,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1297,山东中创软件商用中间件股份有限公司,http://static.sse.com.cn/stock/information/c/202212/619dd83150734e8ba0abc1a1932d2bbc.pdf,8-2-3 申报会计师关于审核中心落实意见函的回复,2022-12-08
6,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1264,上海康鹏科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/02db35a7643849dfab4aa41ed9ebfc4a.pdf,8-1-3 发行人及保荐机构关于审核中心落实意见函的回复,2022-12-08
7,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1264,上海康鹏科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/67e31e667f074efea54d9da25d10c205.pdf,8-2-3 会计师关于审核中心落实意见函的回复,2022-12-08
8,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1144,嘉兴中润光学科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/186f283d03ba4371a28bee075b32781a.pdf,8-1-5 发行人及保荐机构关于注册阶段落实函的回复意见,2022-12-08
9,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1144,嘉兴中润光学科技股份有限公司,http://static.sse.com.cn/stock/information/c/202212/e087d3d3bc2f409cbfd3fd1cdfe2e614.pdf,8-2-5 会计师关于注册阶段落实函的回复意见,2022-12-08
10,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1310,吉林省中研高分子材料股份有限公司,http://static.sse.com.cn/stock/information/c/202212/14c7923255d141deb8d4d876ba1e5933.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2022-12-07
