序号,发行人_链接,发行人,审核问询轮次,文件名称_链接,文件名称,披露日期
1,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=200,埃夫特智能装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/202001/ebd9ca6c3dcc49d09d43e511feb35532.pdf,8-1 关于埃夫特智能装备股份有限公司首次公开发行股票并在科创板上市申请文件第四轮审核问询函的回复,2020-01-07
2,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=200,埃夫特智能装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/201912/9e8e4497d04643c2aa5397d0fcbda7c7.pdf,8-1 关于埃夫特智能装备股份有限公司首次公开发行股票并在科创板上市申请文件第三轮审核问询函的回复,2019-12-30
3,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=200,埃夫特智能装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/201911/26409de93edb4a37b48b6a25df06809e.pdf,8-1 关于埃夫特智能装备股份有限公司首次公开发行股票并在科创板上市申请文件第二轮审核问询函的回复,2019-11-13
4,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=200,埃夫特智能装备股份有限公司,1,http://static.sse.com.cn/stock/information/c/201909/8bd9599b53024779b4b867b1bbb73b84.pdf,8-1 埃夫特智能装备股份有限公司及国信证券股份有限公司关于审核问询函的回复,2019-09-29
5,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=302,爱博诺德（北京）医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202004/b1136985e6134021bf6de03c492c6003.pdf,8-1 爱博诺德（北京）医疗科技股份有限公司及招商证券股份有限公司关于第二轮审核问询函之回复报告,2020-04-29
6,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=302,爱博诺德（北京）医疗科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202004/b43bc3e865d64a46893f31858574ff4a.pdf,8-1 爱博诺德（北京）医疗科技股份有限公司及招商证券股份有限公司关于审核问询函之回复报告,2020-04-02
7,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=820,安徽巨一科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202106/930fa60c6055414a82f318768e54d42d.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2021-06-09
8,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=820,安徽巨一科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202105/1dd4c963f9484d479f990c8ae08be930.pdf,8-1 发行人和保荐机构首轮问询回复（2020年报财务数据更新版）,2021-05-07
9,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1057,安徽耐科装备科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202204/a7102dd79a4a485eb5e003eaea4fb4fc.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2022-04-27
10,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=1057,安徽耐科装备科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202203/cdf30a7bebaf485d9845a9ca9c97b766.pdf,8-1 发行人及保荐机构回复意见,2022-03-17
11,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=751,安徽容知日新科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202103/61cf8bde8e664703958654b623f6eade.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2021-03-02
12,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=751,安徽容知日新科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202012/724e8952d6e44adf94b0f4214e54631d.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2020-12-25
13,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=463,安徽省通源环境节能股份有限公司,1,http://static.sse.com.cn/stock/information/c/202008/76b16ecc0c274421ad5b6955d74aadcc.pdf,8-1-2 发行人及保荐机构关于第二轮审核问询函的回复,2020-08-28
14,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=463,安徽省通源环境节能股份有限公司,1,http://static.sse.com.cn/stock/information/c/202007/c3ed3d1cd9fe4d44839a26789da80226.pdf,8-1 发行人及保荐机构关于审核问询函的回复,2020-07-19
15,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=310,安徽皖仪科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202004/215197e5041b40089f35059aa04f99cd.pdf,8-1 发行人及保荐机构关于第二轮审核问询函的回复,2020-04-10
16,http://kcb.sse.com.cn/renewal/xmxq/index.shtml?auditId=310,安徽皖仪科技股份有限公司,1,http://static.sse.com.cn/stock/information/c/202003/fec0b0d3dd124663ac7f6dc62fae64b1.pdf,8-1 发行人及保荐机构关于审核问询函的回复（2019年年报财务数据更新版）,2020-03-23
